cross,fert,king_robust_27,king_homog_111,king_homog_27,Wang,LynchLi,LynchRd,Ritland,QuellerGt
U007-U048 ,43.95839817,0.306854839,0.161667795,0.236928133,0.7757,0.7845,0.8881,2.2104,0.891
U048-U007 ,19.17177629,0.306854839,0.161667795,0.236928133,0.7757,0.7845,0.8881,2.2104,0.891
U048-U104 ,16.8396867,0.288253628,0.137543265,0.217747221,0.7602,0.7693,0.8804,2.1987,0.8838
U104-U048 ,51.13378685,0.288253628,0.137543265,0.217747221,0.7602,0.7693,0.8804,2.1987,0.8838
U007-L025 ,27.52689497,0.281022579,0.115941839,0.201655357,0.7453,0.7557,0.8753,2.1637,0.8769
L025-U007 ,18.36572152,0.281022579,0.115941839,0.201655357,0.7453,0.7557,0.8753,2.1637,0.8769
M029-L056,29.41347934,0.278718949,0.113749654,0.199333302,0.7455,0.7555,0.8728,2.2147,0.878
L056-M029,37.49869131,0.278718949,0.113749654,0.199333302,0.7455,0.7555,0.8728,2.2147,0.878
U007-M067 ,50.22544283,0.276068135,0.107860987,0.194857888,0.7404,0.7507,0.8734,2.1694,0.8745
M067-U007 ,25.14619883,0.276068135,0.107860987,0.194857888,0.7404,0.7507,0.8734,2.1694,0.8745
L025-M067 ,55.80884318,0.275871688,0.104000698,0.192035109,0.7376,0.7481,0.8707,2.1724,0.8731
M067-L025 ,21.41614221,0.275871688,0.104000698,0.192035109,0.7376,0.7481,0.8707,2.1724,0.8731
M031-M067 ,33.00803159,0.269189316,0.091884531,0.182728673,0.7294,0.7405,0.8649,2.1547,0.8693
M067-M031 ,32.14098979,0.269189316,0.091884531,0.182728673,0.7294,0.7405,0.8649,2.1547,0.8693
L028-U048 ,33.72643617,0.267389525,0.070385279,0.167003007,0.7151,0.7266,0.8593,2.1582,0.861
U048-L028 ,16.01909995,0.267389525,0.070385279,0.167003007,0.7151,0.7266,0.8593,2.1582,0.861
M067-U121 ,14.00759734,0.265225045,0.092506433,0.182876116,0.7309,0.7409,0.869,2.178,0.8699
U121-M067 ,66.3823178,0.265225045,0.092506433,0.182876116,0.7309,0.7409,0.869,2.178,0.8699
B022-U048 ,50.48993722,0.263714131,0.061489893,0.159365492,0.7083,0.7207,0.8514,2.1297,0.8573
U048-B022 ,60.66531685,0.263714131,0.061489893,0.159365492,0.7083,0.7207,0.8514,2.1297,0.8573
L025-U104 ,9.486701363,0.263262283,0.093821757,0.183726838,0.7307,0.7415,0.8689,2.1523,0.8703
U104-L025 ,34.5190175,0.263262283,0.093821757,0.183726838,0.7307,0.7415,0.8689,2.1523,0.8703
M067-U104 ,15.76035782,0.262929371,0.093918074,0.183299764,0.7315,0.7419,0.8696,2.1681,0.8708
U104-M067 ,60.37131196,0.262929371,0.093918074,0.183299764,0.7315,0.7419,0.8696,2.1681,0.8708
U007-U121 ,10.61119197,0.26103958,0.0865215,0.178121977,0.7278,0.7372,0.8699,2.1614,0.8683
U121-U007 ,39.91013072,0.26103958,0.0865215,0.178121977,0.7278,0.7372,0.8699,2.1614,0.8683
M057-L098,3.791387888,0.260534255,0.092823604,0.182847828,0.7307,0.7407,0.8677,2.1533,0.8694
L098-M057,95.79570979,0.260534255,0.092823604,0.182847828,0.7307,0.7407,0.8677,2.1533,0.8694
L028-M067 ,60.70572175,0.25762451,0.065872522,0.162301534,0.7108,0.7238,0.8542,2.1441,0.8605
M067-L028 ,15.60558683,0.25762451,0.065872522,0.162301534,0.7108,0.7238,0.8542,2.1441,0.8605
U048-M067 ,32.87659201,0.255463592,0.061449263,0.158924718,0.7081,0.721,0.8525,2.1364,0.8587
M067-U048 ,25.49223417,0.255463592,0.061449263,0.158924718,0.7081,0.721,0.8525,2.1364,0.8587
L025-L028 ,16.78018278,0.255196032,0.06970255,0.165574949,0.7149,0.7259,0.8591,2.144,0.8615
L028-L025 ,31.52875587,0.255196032,0.06970255,0.165574949,0.7149,0.7259,0.8591,2.144,0.8615
B022-M067 ,74.72222222,0.254929446,0.062175686,0.158818797,0.7102,0.7214,0.8535,2.136,0.8585
M067-B022 ,38.17805777,0.254929446,0.062175686,0.158818797,0.7102,0.7214,0.8535,2.136,0.8585
U104-U121 ,25.18199234,0.254508631,0.079231648,0.171829653,0.7231,0.7326,0.869,2.1651,0.8666
U121-U104 ,39.50734471,0.254508631,0.079231648,0.171829653,0.7231,0.7326,0.869,2.1651,0.8666
U007-B022 ,2.732240437,0.254368376,0.072038635,0.166552604,0.7163,0.7275,0.8567,2.1254,0.8618
B022-U007 ,0.529100529,0.254368376,0.072038635,0.166552604,0.7163,0.7275,0.8567,2.1254,0.8618
L025-U121 ,12.42724868,0.253969763,0.07495812,0.16933914,0.719,0.7295,0.8633,2.1482,0.8642
