cross,fert,king_robust_27,king_homog_111,king_homog_27
U007-U104 ,0.916573139,0.473472823,0.454695009,0.464675469
U104-U007 ,1.537176274,0.473472823,0.454695009,0.464675469
U007-U048 ,43.95839817,0.306854839,0.161667795,0.236928133
U048-U007 ,19.17177629,0.306854839,0.161667795,0.236928133
U048-U104 ,16.8396867,0.288253628,0.137543265,0.217747221
U104-U048 ,51.13378685,0.288253628,0.137543265,0.217747221
U007-L025 ,27.52689497,0.281022579,0.115941839,0.201655357
L025-U007 ,18.36572152,0.281022579,0.115941839,0.201655357
M029-L056,29.41347934,0.278718949,0.113749654,0.199333302
L056-M029,37.49869131,0.278718949,0.113749654,0.199333302
U007-M067 ,50.22544283,0.276068135,0.107860987,0.194857888
M067-U007 ,25.14619883,0.276068135,0.107860987,0.194857888
L025-M067 ,55.80884318,0.275871688,0.104000698,0.192035109
M067-L025 ,21.41614221,0.275871688,0.104000698,0.192035109
M031-M067 ,33.00803159,0.269189316,0.091884531,0.182728673
M067-M031 ,32.14098979,0.269189316,0.091884531,0.182728673
L028-U048 ,33.72643617,0.267389525,0.070385279,0.167003007
U048-L028 ,16.01909995,0.267389525,0.070385279,0.167003007
M067-U121 ,14.00759734,0.265225045,0.092506433,0.182876116
U121-M067 ,66.3823178,0.265225045,0.092506433,0.182876116
B022-U048 ,50.48993722,0.263714131,0.061489893,0.159365492
U048-B022 ,60.66531685,0.263714131,0.061489893,0.159365492
L025-U104 ,9.486701363,0.263262283,0.093821757,0.183726838
U104-L025 ,34.5190175,0.263262283,0.093821757,0.183726838
M067-U104 ,15.76035782,0.262929371,0.093918074,0.183299764
U104-M067 ,60.37131196,0.262929371,0.093918074,0.183299764
U007-U121 ,10.61119197,0.26103958,0.0865215,0.178121977
U121-U007 ,39.91013072,0.26103958,0.0865215,0.178121977
M057-L098,3.791387888,0.260534255,0.092823604,0.182847828
L098-M057,95.79570979,0.260534255,0.092823604,0.182847828
L028-M067 ,60.70572175,0.25762451,0.065872522,0.162301534
M067-L028 ,15.60558683,0.25762451,0.065872522,0.162301534
U048-M067 ,32.87659201,0.255463592,0.061449263,0.158924718
M067-U048 ,25.49223417,0.255463592,0.061449263,0.158924718
L025-L028 ,16.78018278,0.255196032,0.06970255,0.165574949
L028-L025 ,31.52875587,0.255196032,0.06970255,0.165574949
B022-M067 ,74.72222222,0.254929446,0.062175686,0.158818797
M067-B022 ,38.17805777,0.254929446,0.062175686,0.158818797
U104-U121 ,25.18199234,0.254508631,0.079231648,0.171829653
U121-U104 ,39.50734471,0.254508631,0.079231648,0.171829653
U007-B022 ,2.732240437,0.254368376,0.072038635,0.166552604
B022-U007 ,0.529100529,0.254368376,0.072038635,0.166552604
L025-U121 ,12.42724868,0.253969763,0.07495812,0.16933914
U121-L025 ,32.62626263,0.253969763,0.07495812,0.16933914
M029-U108,34.80533927,0.253915464,0.06866201,0.164155498
U108-M029,38.36134798,0.253915464,0.06866201,0.164155498
U007-M031 ,59.0104789,0.253837823,0.067769395,0.163953629
M031-U007 ,16.45210728,0.253837823,0.067769395,0.163953629
B022-L028 ,28.15965427,0.253639443,0.047463228,0.148297675
L028-B022 ,91.99284512,0.253639443,0.047463228,0.148297675
L025-M031 ,54.0347664,0.253437792,0.065597594,0.162421605
M031-L025 ,23.19790538,0.253437792,0.065597594,0.162421605
L028-M031 ,61.41287486,0.250331095,0.058528978,0.157312951
M031-L028 ,12.19047619,0.250331095,0.058528978,0.157312951
U108-L056,67.95985061,0.250306604,0.06236407,0.159108244
L056-U108,33.76782198,0.250306604,0.06236407,0.159108244
U048-U121 ,8.912037037,0.249012714,0.065045675,0.161807132
U121-U048 ,52.44278046,0.249012714,0.065045675,0.161807132
L025-U048 ,23.93673195,0.248634008,0.05790895,0.15638821
U048-L025 ,27.93317793,0.248634008,0.05790895,0.15638821
M031-U048 ,23.92810791,0.248112495,0.054086655,0.153923115
U048-M031 ,16.08045977,0.248112495,0.054086655,0.153923115
M057-U108,17.70562771,0.247188115,0.053404088,0.153292218
U108-M057,83.07692308,0.247188115,0.053404088,0.153292218
B022-U121 ,13.52699408,0.246142649,0.063380959,0.159605868
U121-B022 ,82.99341682,0.246142649,0.063380959,0.159605868
U007-L028 ,20.38162783,0.244258077,0.05300694,0.152591118
L028-U007 ,41.44728238,0.244258077,0.05300694,0.152591118
M031-U121 ,6.807181889,0.243730257,0.055710504,0.154410047
U121-M031 ,48.37094586,0.243730257,0.055710504,0.154410047
L098-L056,75.11067087,0.24195352,0.062226022,0.158378568
L056-L098,9.775198084,0.24195352,0.062226022,0.158378568
L028-U121 ,7.848897135,0.241591766,0.052993707,0.152341606
U121-L028 ,31.1323764,0.241591766,0.052993707,0.152341606
M057-L056,11.45491055,0.241100401,0.046897173,0.147407104
L056-M057,56.79012346,0.241100401,0.046897173,0.147407104
M057-M065,11.02559848,0.239123407,0.028579826,0.133547471
M065-M057,0,0.239123407,0.028579826,0.133547471
B022-U104 ,1.36009636,0.238385711,0.053042831,0.151511196
U104-B022 ,0.529100529,0.238385711,0.053042831,0.151511196
